Kinase	Kinome	ActLoop	PSP	NWK	Kin	Sub	Score	Rel.Score	Skew
ABL1	160	31	157	232	191	389	272.578429080513	1	0.70943158914752
ABL2	51	29	30	176	80	206	128.37445228705	0.470963358032749	0.764181594413709
ADRBK1	0	0	0	0	0	0	0	0	0
AKT1	0	0	1	0	0	1	0	0	1
AKT2	0	0	0	0	0	0	0	0	0
AKT3	0	0	0	0	0	0	0	0	0
ALK	0	0	29	0	0	29	0	0	1
ALPK3	0	0	0	0	0	0	0	0	0
ARAF	0	0	0	0	0	0	0	0	0
AURKA	1	0	1	0	1	1	1	0.00366866887953421	0.5
AURKB	1	0	0	0	1	0	0	0	0
AURKC	1	0	0	0	1	0	0	0	0
AXL	3	0	0	841	3	841	50.2294734194974	0.184275305969501	0.997729071086429
BCR	178	0	0	0	178	0	0	0	0
BCR-ABL	0	0	99	0	0	99	0	0	1
BLK	0	0	17	18	0	35	0	0	1
BMP2K	1	0	0	0	1	0	0	0	0
BMPR2	0	0	0	0	0	0	0	0	0
BMX	1	0	12	1	1	13	3.60555127546399	0.0132275737578596	0.951125496055605
BTK	17	1	11	141	18	152	52.3067873224881	0.191896282838427	0.9249602884941
BUB1	1	0	0	0	1	0	0	0	0
CAMK2A	0	0	0	0	0	0	0	0	0
CAMK2B	0	0	0	0	0	0	0	0	0
CDC42BPA	0	0	0	0	0	0	0	0	0
CDC42BPB	0	0	0	0	0	0	0	0	0
CDK1	135	0	1	0	135	1	11.6189500386223	0.0426260804195563	0.00471561577068306
CDK16	4	0	0	0	4	0	0	0	0
CDK17	4	0	0	0	4	0	0	0	0
CDK2	133	0	1	27	133	28	61.0245852095694	0.223878996644831	0.132096200440311
CDK3	133	0	0	32	133	32	65.2380257212004	0.23933671472562	0.15031461629303
CDK4	0	0	0	0	0	0	0	0	0
CDK5	2	0	3	0	2	3	2.44948974278318	0.00898636679008691	0.625665916378002
CIT	0	0	0	0	0	0	0	0	0
CLK1	0	0	0	0	0	0	0	0	0
CLK2	0	0	0	0	0	0	0	0	0
CSF1R	0	0	0	7	0	7	0	0	1
CSK	1	0	0	187	1	187	13.6747943311773	0.0501682923968212	0.996595648641437
CSNK1A1	0	0	0	0	0	0	0	0	0
CSNK1A1L	0	0	0	0	0	0	0	0	0
CSNK2A1	0	0	0	0	0	0	0	0	0
CSNK2A2	4	0	0	0	4	0	0	0	0
DCLK2	0	0	0	0	0	0	0	0	0
DDR1	7	4	0	0	11	0	0	0	0
DDR2	0	0	0	0	0	0	0	0	0
DYRK1A	18	18	0	0	36	0	0	0	0
DYRK1B	18	18	0	0	36	0	0	0	0
DYRK2	2	2	0	0	4	0	0	0	0
DYRK3	1	1	0	0	2	0	0	0	0
DYRK4	2	2	0	0	4	0	0	0	0
EEF2K	0	0	0	0	0	0	0	0	0
EGFR	0	0	23	107	0	130	0	0	1
EPHA1	0	0	0	0	0	0	0	0	0
EPHA2	0	0	0	34	0	34	0	0	1
EPHA3	0	0	0	13	0	13	0	0	1
EPHA4	0	0	0	0	0	0	0	0	0
EPHA5	0	0	0	0	0	0	0	0	0
EPHA6	0	0	0	0	0	0	0	0	0
EPHA7	0	0	0	0	0	0	0	0	0
