Kinase	Kinome	ActLoop	PSP	NWK	Kin	Sub	Score	Rel.Score	Skew
ABL1	0	0	11	79	0	90	0	0	1
ABL2	1	0	0	3	1	3	1.73205080756888	0.0437408882639853	0.795167235300867
ADRBK1	0	0	0	0	0	0	0	0	0
AKT1	0	0	0	0	0	0	0	0	0
AKT2	0	0	0	0	0	0	0	0	0
AKT3	0	0	0	0	0	0	0	0	0
ALK	0	0	10	0	0	10	0	0	1
ALPK3	0	0	0	0	0	0	0	0	0
ARAF	0	0	0	0	0	0	0	0	0
AURKA	0	0	0	0	0	0	0	0	0
AURKB	0	0	0	0	0	0	0	0	0
AURKC	0	0	0	0	0	0	0	0	0
AXL	5	2	0	224	7	224	39.5979797464467	1	0.980112104352821
BCR	2	0	0	0	2	0	0	0	0
BCR-ABL	0	0	2	0	0	2	0	0	1
BLK	0	0	0	0	0	0	0	0	0
BMP2K	0	0	0	0	0	0	0	0	0
BMPR2	0	0	0	0	0	0	0	0	0
BMX	0	0	20	0	0	20	0	0	1
BTK	0	0	0	2	0	2	0	0	1
BUB1	0	0	0	0	0	0	0	0	0
CAMK2A	0	0	0	0	0	0	0	0	0
CAMK2B	0	0	0	0	0	0	0	0	0
CDC42BPA	0	0	0	0	0	0	0	0	0
CDC42BPB	0	0	0	0	0	0	0	0	0
CDK1	59	0	0	0	59	0	0	0	0
CDK16	4	0	0	0	4	0	0	0	0
CDK17	4	0	0	0	4	0	0	0	0
CDK2	59	0	0	2	59	2	10.8627804912002	0.27432663385245	0.0215720710101597
CDK3	59	0	0	2	59	2	10.8627804912002	0.27432663385245	0.0215720710101597
CDK4	0	0	0	0	0	0	0	0	0
CDK5	4	0	9	0	4	9	6	0.151522881682832	0.733750122504687
CIT	0	0	0	0	0	0	0	0	0
CLK1	0	0	0	0	0	0	0	0	0
CLK2	0	0	0	0	0	0	0	0	0
CSF1R	0	0	0	0	0	0	0	0	0
CSK	1	0	0	45	1	45	6.70820393249937	0.169407731794735	0.98585522199937
CSNK1A1	0	0	0	0	0	0	0	0	0
CSNK1A1L	0	0	0	0	0	0	0	0	0
CSNK2A1	0	0	0	0	0	0	0	0	0
CSNK2A2	0	0	0	0	0	0	0	0	0
DCLK2	0	0	0	0	0	0	0	0	0
DDR1	0	0	0	0	0	0	0	0	0
DDR2	1	0	0	0	1	0	0	0	0
DYRK1A	12	12	0	0	24	0	0	0	0
DYRK1B	12	12	0	0	24	0	0	0	0
DYRK2	3	3	0	0	6	0	0	0	0
DYRK3	1	1	0	0	2	0	0	0	0
DYRK4	3	3	0	0	6	0	0	0	0
EEF2K	0	0	0	0	0	0	0	0	0
EGFR	0	0	2	36	0	38	0	0	1
EPHA1	0	0	0	1	0	1	0	0	1
EPHA2	2	2	2	2	4	4	4	0.101015254455221	0.5
EPHA3	2	1	0	1	3	1	1.73205080756888	0.0437408882639853	0.204832764699133
EPHA4	1	1	0	0	2	0	0	0	0
EPHA5	1	1	0	0	2	0	0	0	0
EPHA6	0	0	0	0	0	0	0	0	0
EPHA7	0	0	0	0	0	0	0	0	0
EPHA8	0	0	0	70	0	70	0	0	1
EPHB1	0	0	0	2	0	2	0	0	1
EPHB2	0	0	0	3	0	3	0	0	1
EPHB3	0	0	0	0	0	0	0	0	0
EPHB4	0	0	0	0	0	0	0	0	0
EPHB6	0	0	0	0	0	0	0	0	0
