Kinase	Kinome	ActLoop	PSP	NWK	Kin	Sub	Score	Rel.Score	Skew
ABL1	4	3	34	88	7	122	29.2232783924049	0.575779245136914	0.963512641245485
ABL2	3	3	8	9	6	17	10.0995049383621	0.198988123494658	0.783999613020265
ADRBK1	0	0	0	5	0	5	0	0	1
AKT1	0	0	2	9	0	11	0	0	1
AKT2	0	0	0	4	0	4	0	0	1
AKT3	0	0	0	4	0	4	0	0	1
ALK	48	0	45	0	48	45	46.475800154489	0.91570154350104	0.479470997044505
ALPK3	0	0	0	0	0	0	0	0	0
ARAF	0	0	0	0	0	0	0	0	0
AURKA	0	0	0	0	0	0	0	0	0
AURKB	0	0	0	0	0	0	0	0	0
AURKC	0	0	0	0	0	0	0	0	0
AXL	4	0	0	644	4	644	50.7543101617981	1	0.996045890770868
BCR	1	0	0	0	1	0	0	0	0
BCR-ABL	0	0	1	0	0	1	0	0	1
BLK	0	0	0	0	0	0	0	0	0
BMP2K	0	0	0	0	0	0	0	0	0
BMPR2	0	0	0	0	0	0	0	0	0
BMX	0	0	39	0	0	39	0	0	1
BTK	0	0	0	9	0	9	0	0	1
BUB1	0	0	0	0	0	0	0	0	0
CAMK2A	0	0	0	3	0	3	0	0	1
CAMK2B	0	0	0	0	0	0	0	0	0
CDC42BPA	0	0	0	0	0	0	0	0	0
CDC42BPB	1	0	0	0	1	0	0	0	0
CDK1	48	0	2	0	48	2	9.79795897113271	0.193046835626336	0.0265104892265424
CDK16	2	0	0	0	2	0	0	0	0
CDK17	2	0	0	0	2	0	0	0	0
CDK2	47	0	2	7	47	9	20.5669638012031	0.405225954911777	0.120447838381451
CDK3	47	0	0	22	47	22	32.1558703816271	0.633559401735899	0.278706600068788
CDK4	0	0	0	0	0	0	0	0	0
CDK5	2	0	15	0	2	15	5.47722557505166	0.107916461825429	0.915615073682317
CIT	0	0	0	0	0	0	0	0	0
CLK1	0	0	0	0	0	0	0	0	0
CLK2	0	0	0	0	0	0	0	0	0
CSF1R	0	0	0	15	0	15	0	0	1
CSK	0	0	0	128	0	128	0	0	1
CSNK1A1	0	0	0	0	0	0	0	0	0
CSNK1A1L	0	0	0	0	0	0	0	0	0
CSNK2A1	0	0	0	0	0	0	0	0	0
CSNK2A2	0	0	0	0	0	0	0	0	0
DCLK2	0	0	0	7	0	7	0	0	1
DDR1	0	0	0	0	0	0	0	0	0
DDR2	0	0	0	0	0	0	0	0	0
DYRK1A	10	10	0	0	20	0	0	0	0
DYRK1B	10	10	0	0	20	0	0	0	0
DYRK2	2	2	0	0	4	0	0	0	0
DYRK3	3	3	0	0	6	0	0	0	0
DYRK4	2	2	0	0	4	0	0	0	0
EEF2K	0	0	0	0	0	0	0	0	0
EGFR	6	0	30	179	6	209	35.4118624192515	0.697711431922987	0.981728852614499
EPHA1	0	0	0	48	0	48	0	0	1
EPHA2	8	7	8	22	15	30	21.2132034355964	0.417958659431515	0.704832764699133
EPHA3	0	0	0	5	0	5	0	0	1
EPHA4	0	0	0	1	0	1	0	0	1
EPHA5	0	0	0	0	0	0	0	0	0
EPHA6	0	0	0	0	0	0	0	0	0
EPHA7	0	0	0	0	0	0	0	0	0
EPHA8	0	0	0	189	0	189	0	0	1
EPHB1	0	0	0	8	0	8	0	0	1
EPHB2	0	0	0	5	0	5	0	0	1
EPHB3	3	0	2	5	3	7	4.58257569495584	0.0902893898143269	0.742237883181687
EPHB4	5	1	0	6	6	6	6	0.118216560935865	0.5
EPHB6	0	0	0	0	0	0	0	0	0
