Kinase	Kinome	ActLoop	PSP	NWK	Kin	Sub	Score	Rel.Score	Skew
ABL1	3	2	188	89	5	277	37.2155881318568	0.0796376536261594	0.988509916167962
ABL2	2	2	6	12	4	18	8.48528137423857	0.018157657393668	0.860791025453872
ADRBK1	0	0	0	45	0	45	0	0	1
AKT1	0	0	4	38	0	42	0	0	1
AKT2	0	0	0	0	0	0	0	0	0
AKT3	0	0	0	0	0	0	0	0	0
ALK	0	0	28	0	0	28	0	0	1
ALPK3	2	0	0	0	2	0	0	0	0
ARAF	1	0	0	0	1	0	0	0	0
AURKA	0	0	0	2	0	2	0	0	1
AURKB	0	0	0	0	0	0	0	0	0
AURKC	0	0	0	0	0	0	0	0	0
AXL	16	4	0	2082	20	2082	204.058815050955	0.436665549253587	0.993884724385828
BCR	5	0	0	0	5	0	0	0	0
BCR-ABL	0	0	5	0	0	5	0	0	1
BLK	0	0	0	0	0	0	0	0	0
BMP2K	2	0	0	0	2	0	0	0	0
BMPR2	2	0	0	0	2	0	0	0	0
BMX	0	0	124	0	0	124	0	0	1
BTK	0	0	0	9	0	9	0	0	1
BUB1	0	0	0	0	0	0	0	0	0
CAMK2A	0	0	0	14	0	14	0	0	1
CAMK2B	0	0	0	0	0	0	0	0	0
CDC42BPA	5	0	0	0	5	0	0	0	0
CDC42BPB	8	0	0	8	8	8	8	0.0171192035646996	0.5
CDK1	30	0	5	1	30	6	13.4164078649987	0.0287097771684938	0.125665916378002
CDK16	1	0	0	0	1	0	0	0	0
CDK17	0	0	0	0	0	0	0	0	0
CDK2	23	0	5	116	23	121	52.7541467564399	0.112888622150692	0.880416253076195
CDK3	23	0	0	259	23	259	77.1816040258299	0.165160948846028	0.943614106909361
CDK4	3	0	0	0	3	0	0	0	0
CDK5	2	0	12	0	2	12	4.89897948556636	0.0104833283840872	0.894863086577493
CIT	0	0	0	0	0	0	0	0	0
CLK1	0	0	0	1	0	1	0	0	1
CLK2	0	0	0	1	0	1	0	0	1
CSF1R	0	0	0	15	0	15	0	0	1
CSK	1	0	0	722	1	722	26.8700576850888	0.057499248413282	0.999118255726754
CSNK1A1	1	0	0	1	1	1	1	0.00213990044558745	0.5
CSNK1A1L	1	0	0	0	1	0	0	0	0
CSNK2A1	0	0	0	5	0	5	0	0	1
CSNK2A2	0	0	0	0	0	0	0	0	0
DCLK2	0	0	0	5	0	5	0	0	1
DDR1	0	0	0	0	0	0	0	0	0
DDR2	0	0	0	0	0	0	0	0	0
DYRK1A	5	5	0	0	10	0	0	0	0
DYRK1B	5	5	0	0	10	0	0	0	0
DYRK2	2	2	0	0	4	0	0	0	0
DYRK3	1	1	0	0	2	0	0	0	0
DYRK4	2	2	0	0	4	0	0	0	0
EEF2K	0	0	0	0	0	0	0	0	0
EGFR	134	9	137	432	143	569	285.249014021083	0.610404492207096	0.843252215335402
EPHA1	0	0	0	2	0	2	0	0	1
EPHA2	44	11	43	97	55	140	87.7496438739212	0.187775502025944	0.761691818587718
EPHA3	2	2	0	12	4	12	6.92820323027551	0.014825665179587	0.795167235300867
EPHA4	2	2	0	62	4	62	15.7480157480236	0.0336991859163139	0.958984600150541
EPHA5	2	2	0	11	4	11	6.6332495807108	0.0141944937334558	0.77796548309
EPHA6	0	0	0	10	0	10	0	0	1
EPHA7	0	0	0	11	0	11	0	0	1
EPHA8	0	0	0	1201	0	1201	0	0	1
EPHB1	0	0	0	69	0	69	0	0	1
EPHB2	5	2	0	83	7	83	24.1039415863879	0.0515800353411253	0.946435932465637
EPHB3	3	0	3	33	3	36	10.3923048454133	0.0222384977693805	0.94707064788082
EPHB4	13	5	0	75	18	75	36.7423461417477	0.0786249628806542	0.850047407991158
EPHB6	0	0	0	3	0	3	0	0	1
ERBB2	7	0	30	369	7	399	52.8488410468952	0.113091258505031	0.988832377719398
ERBB3	4	0	0	41	4	41	12.8062484748657	0.0274040968176687	0.938086691067069
ERBB4	7	0	0	65	7	65	21.3307290077015	0.0456456365082857	0.931704159337259
FAM20B	1	0	0	0	1	0	0	0	0
FER	1	1	4	8	2	12	4.89897948556636	0.0104833283840872	0.894863086577493
FES	0	0	0	1345	0	1345	0	0	1
FGFR1	0	0	4	337	0	341	0	0	1
FGFR2	0	0	0	7	0	7	0	0	1
FGFR3	0	0	5	0	0	5	0	0	1
FGFR4	1	1	0	657	2	657	36.2491379207837	0.077569546388846	0.998062046252953
FGR	1	0	23	39	1	62	7.87400787401181	0.016849592958157	0.989732829413637
FLT1	0	0	0	31	0	31	0	0	1
FLT3	0	0	0	1	0	1	0	0	1
FLT4	0	0	0	12	0	12	0	0	1
FRK	23	1	0	55	24	55	36.3318042491699	0.0777464441017947	0.738058819978749
FYN	9	3	61	96	12	157	43.4050688284214	0.0928825261266929	0.951435588467695
GAK	4	0	0	0	4	0	0	0	0
GSK3A	19	19	19	6	38	25	30.8220700148449	0.0659561613586942	0.370452303849744
GSK3B	19	19	25	0	38	25	30.8220700148449	0.0659561613586942	0.370452303849744
HCK	1	1	11	3	2	14	5.29150262212918	0.0113232888189214	0.909665529398267
HIPK1	5	5	0	0	10	0	0	0	0
HIPK2	5	5	5	0	10	5	7.07106781186548	0.01513138116139	0.295167235300867
HIPK3	0	0	0	0	0	0	0	0	0
ICK	2	1	0	0	3	0	0	0	0
IGF1R	0	0	6	1	0	7	0	0	1
IKBKB	0	0	0	7	0	7	0	0	1
INSR	0	0	41	86	0	127	0	0	1
INSRR	0	0	0	3	0	3	0	0	1
ITK	0	0	5	62	0	67	0	0	1
JAK1	7	5	5	0	12	5	7.74596669241483	0.0165755975766041	0.251331832756005
JAK2	3	0	19	0	3	19	7.54983443527075	0.0161558940721474	0.900304148723373
JAK3	0	0	12	0	0	12	0	0	1
KDR	0	0	3	32	0	35	0	0	1
KIT	0	0	3	92	0	95	0	0	1
LATS1	1	0	0	0	1	0	0	0	0
LATS2	0	0	0	0	0	0	0	0	0
LCK	2	2	28	37	4	65	16.1245154965971	0.0345048578960499	0.96087274025642
LIMK1	1	1	0	0	2	0	0	0	0
LIMK2	0	0	0	0	0	0	0	0	0
LMTK2	2	0	4	0	2	4	2.82842712474619	0.006052552464556	0.704832764699133
LYN	9	1	63	56	10	119	34.4963766213207	0.0738188117031166	0.946627936010344
MAP2K1	0	0	26	39	0	65	0	0	1
MAP2K2	0	0	3	4	0	7	0	0	1
MAP2K3	0	0	4	22	0	26	0	0	1
MAP2K4	0	0	9	25	0	34	0	0	1
MAP2K5	0	0	2	17	0	19	0	0	1
MAP2K6	0	0	8	15	0	23	0	0	1
MAP2K7	0	0	3	16	0	19	0	0	1
MAP3K4	0	0	0	0	0	0	0	0	0
MAP3K5	0	0	7	0	0	7	0	0	1
MAP3K6	0	0	7	0	0	7	0	0	1
MAP4K3	3	0	0	0	3	0	0	0	0
MAP4K4	0	0	0	0	0	0	0	0	0
MAP4K5	1	0	0	0	1	0	0	0	0
MAPK1	4	4	10	24	8	34	16.4924225024706	0.0352921422618534	0.852883112053476
MAPK10	3	3	0	3	6	3	4.24264068711928	0.009078828696834	0.295167235300867
MAPK11	0	0	0	0	0	0	0	0	0
MAPK12	4	4	0	0	8	0	0	0	0
MAPK13	1	1	0	0	2	0	0	0	0
MAPK14	5	4	8	0	9	8	8.48528137423857	0.018157657393668	0.462594881517447
MAPK3	3	3	13	93	6	106	25.219040425837	0.0539662358445365	0.96400333004331
MAPK7	2	2	0	0	4	0	0	0	0
MAPK8	3	3	0	0	6	0	0	0	0
MAPK9	2	2	0	0	4	0	0	0	0
MAPKAPK3	2	2	0	0	4	0	0	0	0
